,iter,total_loss,loss_b,loss_v
91,910,0.3075495958328247,0.018486641347408295,0.2890629470348358
92,920,0.3065100312232971,0.018436070531606674,0.28807395696640015
93,930,0.30546414852142334,0.018384359776973724,0.287079781293869
94,940,0.3063211441040039,0.018328208476305008,0.287992924451828
95,950,0.30463677644729614,0.018407005816698074,0.2862297594547272
96,960,0.30305975675582886,0.017926033586263657,0.2851337194442749
97,970,0.3061109185218811,0.018262913450598717,0.28784799575805664
98,980,0.30180448293685913,0.018128065392374992,0.283676415681839
99,990,0.2993108332157135,0.018123503774404526,0.2811873257160187
100,1000,0.29820945858955383,0.01804724708199501,0.2801622152328491
101,1010,0.29712989926338196,0.01798342913389206,0.2791464626789093
102,1020,0.29601916670799255,0.01792513020336628,0.27809402346611023
103,1030,0.2949094772338867,0.017873238772153854,0.27703624963760376
